,Month,Qto_estacios,ER_mean,ER_min,ER_max,ER_std,Variance,R2_score,MAE,MSE,MSLE,MedLE,std_target
1,Janeiro,458,1.716,0.041,6.716,1.366,0.919,0.919,1.716,4.812,0.001,1.590,6.833
2,Fevereiro,458,1.500,0.005,5.764,1.192,0.907,0.905,1.500,3.671,0.001,1.187,6.709
3,Março,458,1.376,0.011,7.820,1.186,0.914,0.912,1.376,3.300,0.001,1.171,7.141
4,Abril,461,1.679,0.013,9.530,1.532,0.857,0.851,1.679,5.164,0.001,1.436,5.911
5,Maio,461,1.794,0.014,5.103,1.202,0.912,0.911,1.794,4.664,0.001,1.544,6.339
6,Junho,467,1.881,0.008,7.536,1.525,0.935,0.935,1.881,5.865,0.001,1.357,8.936
7,Julho,467,1.954,0.015,7.901,1.461,0.958,0.958,1.954,5.951,0.001,1.618,11.502
8,Agosto,468,2.070,0.009,8.626,1.656,0.966,0.966,2.070,7.026,0.002,1.653,13.716
9,Setembro,470,1.904,0.028,6.518,1.561,0.966,0.966,1.904,6.065,0.002,1.425,13.210
10,Outubro,458,1.591,0.029,6.806,1.311,0.965,0.965,1.591,4.251,0.001,1.278,10.647
11,Novembro,459,1.756,0.003,8.059,1.560,0.935,0.934,1.756,5.515,0.001,1.289,8.744
12,Dezembro,459,1.700,0.021,5.494,1.319,0.927,0.925,1.700,4.628,0.001,1.367,7.930
