,Month,Qto_estacioes,ER_mean,ER_min,ER_max,ER_std,Variance,R2_score,MAE,MSE,MSLE,MedLE,std_target
1,Janeiro,458,1.628,0.028,5.692,1.334,0.924,0.924,1.628,4.431,0.001,1.182,7.117
2,Fevereiro,458,1.689,0.032,7.299,1.475,0.911,0.907,1.689,5.027,0.001,1.377,7.152
3,Março,458,1.516,0.001,11.387,1.641,0.911,0.910,1.516,4.991,0.001,0.920,7.688
4,Abril,461,1.603,0.025,9.455,1.485,0.883,0.883,1.603,4.774,0.001,1.292,6.365
5,Maio,461,1.540,0.013,5.540,1.202,0.932,0.932,1.540,3.818,0.001,1.121,6.718
6,Junho,467,2.050,0.001,7.058,1.622,0.924,0.924,2.050,6.836,0.001,1.711,9.486
7,Julho,467,1.948,0.025,7.699,1.490,0.955,0.954,1.948,6.014,0.001,1.716,12.027
8,Agosto,468,2.139,0.004,10.171,1.829,0.962,0.962,2.139,7.921,0.002,1.550,14.041
9,Setembro,470,1.990,0.056,8.732,1.731,0.963,0.963,1.990,6.957,0.002,1.512,13.367
10,Outubro,458,1.556,0.003,7.354,1.265,0.970,0.970,1.556,4.021,0.001,1.191,10.811
11,Novembro,459,2.095,0.007,6.507,1.544,0.930,0.930,2.095,6.774,0.001,1.782,8.879
12,Dezembro,459,1.780,0.001,8.667,1.445,0.944,0.940,1.780,5.257,0.001,1.451,8.081
